Q_num,Var_Name,Type,New Variable Name,Q_Scale,Unnamed: 5
Q169P,"Whenever science and religion conflict,  religion is always right ",Ordinal,religious1,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree",
Q170P,The only acceptable religion is my religion,Ordinal,ethical33,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree",
Q171P,How often do you attend religious services,Ordinal,trust35,"7=More than once a week 
6=Once a week 
5=Once a month 
4=Only on special holy days  
3=Once a year 
2=Less often 
1=Never, practically never",
Q172P,How often to you pray,Ordinal,growth15,"8.- Several times a day 
7.- Once a day 
6.- Several times each week 
5.- Only when attending religious services 
4.- Only on special holy days 
3.- Once a year 
2.- Less often 
1.- Never, practically never",
Q173P,Religious person,Binary,religious2,"3=Religious person 
2=Not religious 
1=Atheist",
Q174,"Meaning of religion: To follow religious norms and ceremonies vs To do good to 
other people ",Binary,religious3,"1.- Follow religious norms and ceremonies 
2.- Do good to other people ",
Q175,"Meaning of religion: To make sense of life after death vs To make sense of life in 
this world",Binary,religious4,"1.- Make sense of life after death 
2.- Make sense of life in this world",
Q176P,"Degree of agreement: Nowadays one often has trouble deciding which moral rules 
are the right ones to follow",Ordinal,ethical34,"1=Completely disagree 
2 
3 
4 
5 
6 
7 
8 
9 
10=Completely agree",
Q177,Justifiable: Claiming government benefits to which you are not entitled,Ordinal,ethical35,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q178,Justifiable: Avoiding a fare on public transport,Ordinal,ethical36,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q179,Justifiable: Stealing property,Ordinal,ethical37,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q180,Justifiable: Cheating on taxes,Ordinal,ethical38,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q181,Justifiable: Someone accepting a bribe in the course of their duties,Ordinal,ethical39,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q182,Justifiable: Homosexuality,Ordinal,ethical40,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q183,Justifiable: Prostitution,Ordinal,ethical41,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q184,Justifiable: Abortion,Ordinal,ethical42,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q185,Justifiable: Divorce,Ordinal,ethical43,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q186,Justifiable: Sex before marriage,Ordinal,ethical44,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q187,Justifiable: Suicide,Ordinal,ethical45,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q188,Justifiable: Euthanasia,Ordinal,ethical46,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q189,Justifiable: For a man to beat his wife,Ordinal,ethical47,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q190,Justifiable: Parents beating children,Ordinal,ethical48,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q191,Justifiable: Violence against other people,Ordinal,ethical49,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q192,"Justifiable: Terrorism as a political, ideological or religious mean",Ordinal,ethical50,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q193,Justifiable: Having casual sex,Ordinal,ethical51,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q194,Justifiable: Political violence,Ordinal,ethical52,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q195,Justifiable: Death penalty,Ordinal,ethical53,"1.- Never justifiable 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Always justifiable",
Q196P,Government has the right: Keep people under video surveillance in public areas,Ordinal,ethical54,"1= Definitely should have the 
right 
2= Probably should have the 
right 
3= Probably should not have 
the right 
4= Definitely should not have 
the right ",
Q197P,"Government has the right: Monitor all e-mails and any other information 
exchanged on the Internet",Ordinal,ethical55,"1= Definitely should have the 
right 
2= Probably should have the 
right 
3= Probably should not have 
the right 
4= Definitely should not have 
the right ",
Q198P,"Government has the right: Collect information about anyone living in this 
country without their knowledge",Ordinal,ethical56,"1= Definitely should have the 
right 
2= Probably should have the 
right 
3= Probably should not have 
the right 
4= Definitely should not have 
the right ",
Q199P,Interest in politics,Ordinal,civic23,"4=Very interested 
3=Somewhat interested 
3=Not very interested 
1=Not at all interested ",
Q200P,How often discusses political matters with friends,Ordinal,civic24,"3=Frequently 
2=Occasionally 
1=Never",
Q201P,Information source: Daily newspaper,Ordinal,civic25,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q202P,Information source: TV news,Ordinal,civic26,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q203P,Information source: Radio news,Ordinal,civic27,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q204P,Information source: Mobile phone,Ordinal,civic28,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q205P,Information source: Email,Ordinal,civic29,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q206P,Information source: Internet,Ordinal,civic30,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q207P,"Information source: Social media (Facebook, Twitter, etc.)",Ordinal,civic31,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q208P,Information source: Talk with friends or colleagues,Ordinal,civic32,"5=Daily 
4=Weekly 
3=Monthly 
2=Less than monthly 
1=Never ",
Q209P,Political action: Signing a petition,Ordinal,civic33,"3=Have done
2=Might do 
1=Would never do",
Q210P,Political action: joining in boycotts,Ordinal,civic34,"3=Have done
2=Might do 
1=Would never do",
Q211P,Political action: attending lawful/peaceful demonstrations ,Ordinal,civic35,"3=Have done
2=Might do 
1=Would never do",
Q212P,Political action: joining unofficial strikes ,Ordinal,civic36,"3=Have done
2=Might do 
1=Would never do",
Q213P,Social activism: Donating to a group or campaign,Ordinal,civic37,"3=Have done
2=Might do 
1=Would never do",
Q214P,Social activism: Contacting a government official,Ordinal,civic38,"3=Have done
2=Might do 
1=Would never do",
Q215P,Social activism: Encouraging others to take action about political issues,Ordinal,civic39,"3=Have done
2=Might do 
1=Would never do",
Q216P,Social activism: Encouraging others to vote,Ordinal,civic40,"3=Have done
2=Might do 
1=Would never do",
Q217P,Political actions online: Searching information about politics and political events,Ordinal,civic41,"3=Have done
2=Might do 
1=Would never do",
Q218P,Political actions online: Signing an electronic petition,Ordinal,civic42,"3=Have done
2=Might do 
1=Would never do",
Q219P,"Political actions online: Encouraging other people to  take any  form of  political 
action",Ordinal,civic43,"3=Have done
2=Might do 
1=Would never do",
Q220P,"Political actions online: Organizing political activities, events, protests",Ordinal,civic44,"3=Have done
2=Might do 
1=Would never do",
Q221P,Vote in elections: local level,Ordinal,civic45,"4=Always 
3=Usually 
2=Never 
1=Not allowed to vote",
Q222P,Vote in elections: National level ,Ordinal,civic46,"4=Always 
3=Usually 
2=Never 
1=Not allowed to vote",
Q223,Which party would you vote for if there were a national election tomorrow,Nominal,party_vote,Country-specific,
Q224P,How often in country ́s elections: Votes are counted fairly,Ordinal,ethical57,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q225P,"How  often  in  country ́s  elections:  Opposition  candidates  are  prevented  from 
running ",Ordinal,ethical58,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q226P,How often in country ́s elections: TV news favors the governing party,Ordinal,ethical59,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q227P,How often in country ́s elections: Voters are bribed,Ordinal,ethical60,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",1.0
Q228P,How often in country ́s elections: Journalists provide fair coverage of elections,Ordinal,ethical61,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q229P,How often in country ́s elections: Election officials are fair,Ordinal,ethical62,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q230P,How often in country ́s elections: Rich people buy elections,Ordinal,ethical63,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q231P,How often in country ́s elections: Voters are threatened with  violence at the polls,Ordinal,ethical64,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",1.0
Q232P,"How often in country ́s elections: Voters are offered a genuine choice in the 
elections",Ordinal,ethical65,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q233P,How often in country ́s elections: Women have equal opportunities to run the office,Ordinal,ethical66,"4=Very often 
3=Fairly often 
2=Not often 
1=Not at all often",
Q234P,"Some people think that having honest elections makes a lot of difference in their 
lives;  other people think that it doesn’t matter much",Ordinal,ethical67,"4=Very important 
3=Rather important 
2=Not very important 
1=Not at all important",
Q234AP,How much the political system allows people to have a say ,Ordinal,civic47,"5.- A great deal 
4.- A lot 
3.- Some 
2.- Very little 
1.- Not at all",
Q235P,"Political  system:  Having  a  strong  leader  who  does  not  have  to  bother  with 
parliament and elections",Ordinal,ethical68,"4=Very good 
3=Fairly good 
2=Fairly bad 
1=Very bad",
Q236P,"Political system: Having experts, not  government, make decisions according to 
what they think is best for the country",Ordinal,ethical69,"4=Very good 
3=Fairly good 
2=Fairly bad 
1=Very bad",
Q237P,Political system: Having the army rule,Ordinal,ethical70,"4=Very good 
3=Fairly good 
2=Fairly bad 
1=Very bad",
Q238P,Political system: Having a democratic political system,Ordinal,civic48,"4=Very good 
3=Fairly good 
2=Fairly bad 
1=Very bad",
Q239P,"Political system: Having a system governed by religious law in which there are no 
political parties or elections",Ordinal,ethical71,"4=Very good 
3=Fairly good 
2=Fairly bad 
1=Very bad",
Q240,Left-right political scale,Ordinal,l_vs_r_political,"1.- Left 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Right",
Q241,Democracy: Governments tax the rich and subsidize the poor,Ordinal,ethical72,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q242,Democracy: Religious authorities interpret the laws,Ordinal,ethical73,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q243,Democracy: People choose their leaders in free elections,Ordinal,civic49,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q244,Democracy: People receive state aid for unemployment,Ordinal,ethical74,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q245,Democracy: The army takes over when government is incompetent,Ordinal,ethical75,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q246,Democracy: Civil rights protect people’s liberty against oppression,Ordinal,ethical76,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q247,Democracy: The state makes people ́s incomes equal,Ordinal,ethical77,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q248,Democracy: People obey their rulers,Ordinal,ethical78,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q249,Democracy: Women have the same rights as men,Ordinal,ethical79,"0.- It is against democracy (spontaneous) 
1.- Not an essential characteristic of democracy 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- An essential characteristic of democracy ",
Q250,Importance of democracy,Ordinal,civic50,"1=Not at all important 
2 
3 
4 
5 
6 
7 
8 
9 
10=Absolutely important ",
Q251,How democratically is this country being governed today,Ordinal,civic51,"1=Not at all democratic 
2 
3 
4 
5 
6 
7 
8 
9 
10=Completely democratic",
Q252,Satisfaction with the political system performance,Ordinal,civic52,"1=Not at all satisfied 
2 
3 
4 
5 
6 
7 
8 
9 
10=Completely satisfied",
Q253P,Respect for individual human rights nowadays,Ordinal,ethical80,"4=A great deal 
3=Fairly much 
2=Not much  
1=No respect at all ",
Q254P,National pride,Ordinal,civic53,"4=Very proud 
3=Quite proud 
2=Not very proud 
1=Not at all proud",
Q255P,"Feel close to your village, town or city",Ordinal,growth16,"4=Very close 
3=Close 
2=Not very close 
1=Not close at all",
Q256P,"Feel close to your district, region",Ordinal,growth17,"4=Very close 
3=Close 
2=Not very close 
1=Not close at all",
Q257P,Feel close to your country,Ordinal,growth18,"4=Very close 
3=Close 
2=Not very close 
1=Not close at all",
Q258P,Feel close to your continent ,Ordinal,growth19,"4=Very close 
3=Close 
2=Not very close 
1=Not close at all",
Q259P,Feel close to the world,Ordinal,growth20,"4=Very close 
3=Close 
2=Not very close 
1=Not close at all",
Q260,Sex,Binary,sex,"1.- Male 
2.- Female",
Q261,Year of birth,Date,date_of_birth,,
Q262,Age,Continuous,age,Num of age,
Q263,Respondent immigrant,Binary,immigrant,"1.- I am born in this country 
2.- I am an immigrant to this country (born outside this country) ",
Q264,Mother immigrant,Binary,mom_immigrant,"1.- Not an immigrant 
2.- Immigrant",
Q265,Father immigrant,Binary,dad_immigrant,"1.- Not an immigrant 
2.- Immigrant",
Q266,Country of birth: Respondent,Nominal,birth_country,Country code,
Q267,Country of birth: Mother of the respondent,Nominal,mom_birth_country,Country code,
Q268,Country of birth: Father of the respondent,Nominal,dad_birth_country,Country code,
Q269,Respondent citizen,Binary,citizenship,"1.- Yes, I am a citizen of this country 
2.- Not, I am not a citizen of this country 
3.- SWI2: Applied, awaiting decision",
Q270,Number of people in household,Discrete,num_of_household,"1.- 1 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7-89.- 7 persons or more",
Q271,Do you live with your parents,Binary,live_with_parent,"1.- No 
2.- Yes, own parent(s) 
3.- Yes, parent(s) in law 
4.- Yes, both own parent(s) and parent(s) in law",
Q272,Language at home,Nominal,mother_tongue,Language code,
Q273,Marital status,Binary,marital_status,"1.- Married 
2.- Living together as married 
3.- Divorced 
4.- Separated 
5.- Widowed 
6.- Single",
Q274,How many children do you have,Discrete,num_of_child,"0.- No children 
1.- 1 child2.- 2 children 
3.- 3 children 
4.- 4 children 
5.- 5 children 
6.- 6 children 
7-25.- 7 or more children",
Q275,Highest educational level: Respondent [ISCED 2011],Ordinal,education_level,"0.- Early childhood education (ISCED 0) / no education  
1.- Primary education (ISCED 1) 
2.- Lower secondary education (ISCED 2) 
3.- Upper secondary education (ISCED 3) 
4.- Post-secondary non-tertiary education (ISCED 4) 
5.- Short-cycle tertiary education (ISCED 5) 
6.- Bachelor or equivalent (ISCED 6) 
7.- Master or equivalent (ISCED 7) 
8.- Doctoral or equivalent (ISCED 8)",
Q276,Highest educational level: Respondent ́s Spouse [ISCED 2011],Ordinal,spouse_education_level,"0.- Early childhood education (ISCED 0) / no education  
1.- Primary education (ISCED 1) 
2.- Lower secondary education (ISCED 2) 
3.- Upper secondary education (ISCED 3) 
4.- Post-secondary non-tertiary education (ISCED 4) 
5.- Short-cycle tertiary education (ISCED 5) 
6.- Bachelor or equivalent (ISCED 6) 
7.- Master or equivalent (ISCED 7) 
8.- Doctoral or equivalent (ISCED 8)",
Q277,Highest educational level: Respondent ́s Mother [ISCED 2011],Ordinal,mom_education_level,"0.- Early childhood education (ISCED 0) / no education  
1.- Primary education (ISCED 1) 
2.- Lower secondary education (ISCED 2) 
3.- Upper secondary education (ISCED 3) 
4.- Post-secondary non-tertiary education (ISCED 4) 
5.- Short-cycle tertiary education (ISCED 5) 
6.- Bachelor or equivalent (ISCED 6) 
7.- Master or equivalent (ISCED 7) 
8.- Doctoral or equivalent (ISCED 8)",
Q278,Highest educational level: Respondent ́s Father [ISCED 2011],Ordinal,dad_education_level,"0.- Early childhood education (ISCED 0) / no education  
1.- Primary education (ISCED 1) 
2.- Lower secondary education (ISCED 2) 
3.- Upper secondary education (ISCED 3) 
4.- Post-secondary non-tertiary education (ISCED 4) 
5.- Short-cycle tertiary education (ISCED 5) 
6.- Bachelor or equivalent (ISCED 6) 
7.- Master or equivalent (ISCED 7) 
8.- Doctoral or equivalent (ISCED 8)",
Q279,Employment status,Nominal,employment_status,"1.- Full time (30 hours a week or more) 
2.- Part time (less than 30 hours a week) 
3.- Self employed 
4.- Retired/pensioned 
5.- Housewife not otherwise employed 
6.- Student 
7.- Unemployed 
8.- Other",
Q280,Employment status - Respondent ́s Spouse ,Nominal,spouse_employment_status,"1.- Full time (30 hours a week or more) 
2.- Part time (less than 30 hours a week) 
3.- Self employed 
4.- Retired/pensioned 
5.- Housewife not otherwise employed 
6.- Student 
7.- Unemployed 
8.- Other",
Q281,Respondent - Occupational group ,Nominal,occupational_group,"0.- Never had a job 
1.- Professional and technical (for example: doctor, teacher, engineer, artist, 
accountant, nurse) 
2.- Higher administrative (for example: banker, executive in big business, high 
government official, union official) 
3.- Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper  
4.- Sales (for example: sales manager, shop owner, shop assistant, insurance agent, 
buyer) 
5.- Service (for example: restaurant owner, police officer, waitress, barber, caretaker)  
6.- Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool 
and die maker, electrician) 
7.- Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, 
carpenter, sheet metal worker, baker) 
8.- Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)  
9.- Farm worker (for example: farm labourer, tractor driver)  
10.- Farm owner, farm manager 
11.- JP,KG,TJ: Other",
Q282,Respondent ́s Spouse - Occupational group,Nominal,spouse_occupational_group,"0.- Never had a job 
1.- Professional and technical (for example: doctor, teacher, engineer, artist, 
accountant, nurse) 
2.- Higher administrative (for example: banker, executive in big business, high 
government official, union official) 
3.- Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper  
4.- Sales (for example: sales manager, shop owner, shop assistant, insurance agent, 
buyer) 
5.- Service (for example: restaurant owner, police officer, waitress, barber, caretaker)  
6.- Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool 
and die maker, electrician) 
7.- Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, 
carpenter, sheet metal worker, baker) 
8.- Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)  
9.- Farm worker (for example: farm labourer, tractor driver)  
10.- Farm owner, farm manager 
11.- JP,KG,TJ: Other",
Q283,Respondent ́s Father - Occupational group (when respondent was 14 years old) ,Nominal,dad_occupational_group,"0.- Never had a job 
1.- Professional and technical (for example: doctor, teacher, engineer, artist, 
accountant, nurse) 
2.- Higher administrative (for example: banker, executive in big business, high 
government official, union official) 
3.- Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper  
4.- Sales (for example: sales manager, shop owner, shop assistant, insurance agent, 
buyer) 
5.- Service (for example: restaurant owner, police officer, waitress, barber, caretaker)  
6.- Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool 
and die maker, electrician) 
7.- Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, 
carpenter, sheet metal worker, baker) 
8.- Unskilled worker (for example: labourer, porter, unskilled factory worker, cleaner)  
9.- Farm worker (for example: farm labourer, tractor driver)  
10.- Farm owner, farm manager 
11.- JP,KG,TJ: Other",
Q284,Sector of employment,Nominal,Employment_sector,"1.- Government or public institution 
2.- Private business or industry 
3.- Private non-profit organization",
Q285,Are you the chief wage earner in your house,Binary,chief_wage,"1.- Yes 
2.- No",
Q286,Family savings during past year,Nominal,family_saving,"1.- Save money 
2.- Just get by 
3.- Spent some savings and borrowed money  
4.- Spent savings and borrowed money",
Q287P,Social class (subjective),Ordinal,social_class,"5=Upper class 
4=Upper middle class 
3=Lower middle class 
2=Working class 
1=Lower class",
Q288,Scale of incomes,Ordinal,income_scale,"1.- Lower step 
2.- second step 
3.- Third step 
4.- Fourth step 
5.- Fifth step 
6.- Sixth step 
7.- Seventh step 
8.- Eight  step 
9.- Nineth step 
10.- Tenth step",
Q289,Religious denominations - major groups ,Nominal,religiosity,"0.- Do not belong to a denomination 
1.- Roman Catholic 
2.- Protestant 
3.- Orthodox (Russian/Greek/etc.) 
4.- Jew
5.- Muslim 
6.- Hindu 
7.- Buddhist 
8.- Other Christian (Evangelical/Pentecostal/Fee church/etc.) 
9.- Other",
Q290,Racial belonging/ ethnic group,Nominal,race,Racial code,
